model,MAE,RMSE,R2
BaselineMedian,41240.584589473685,48142.39517339384,-0.001461205160745216
Ridge,42063.94802916417,49433.50272667376,-0.055896893823474514
RandomForest,46085.65503034284,56096.12507758136,-0.35970429319422803
XGBRegressor,45576.698493604235,54973.28773417835,-0.30581654114566503
